MainThread:2020-12-01 16:18:45,969:DEBUG:Using Least loaded scheduler
Thread-2:2020-12-01 16:19:38,100:INFO:Type:R Task 6_R0 scheduled on worker 1
Thread-2:2020-12-01 16:19:38,100:INFO:Type:R Task 6_R1 scheduled on worker 1
Thread-2:2020-12-01 16:19:38,102:INFO:Type:R Task 8_R0 scheduled on worker 2
Thread-3:2020-12-01 16:19:39,086:INFO:Type:M Task 7_M3 completed on worker 2
Thread-2:2020-12-01 16:19:39,096:INFO:Type:R Task 7_R0 scheduled on worker 2
Thread-2:2020-12-01 16:19:39,096:INFO:Type:R Task 7_R1 scheduled on worker 2
Thread-3:2020-12-01 16:19:39,611:INFO:Type:R Task 9_R0 completed on worker 1
Thread-3:2020-12-01 16:19:39,699:INFO:Type:R Task 6_R1 completed on worker 1
Thread-3:2020-12-01 16:19:40,278:INFO:Type:R Task 5_R0 completed on worker 3
Thread-3:2020-12-01 16:19:42,613:INFO:Type:R Task 6_R0 completed on worker 1
Thread-3:2020-12-01 16:19:43,091:INFO:Type:R Task 8_R0 completed on worker 2
Thread-3:2020-12-01 16:19:44,092:INFO:Type:R Task 4_R0 completed on worker 2
Thread-3:2020-12-01 16:19:44,120:INFO:Type:R Task 4_R1 completed on worker 2
Thread-3:2020-12-01 16:19:44,153:INFO:Type:R Task 7_R0 completed on worker 2
Thread-3:2020-12-01 16:19:44,169:INFO:Type:R Task 7_R1 completed on worker 2
