Thread-2:2020-12-01 16:19:36,071:DEBUG:Task 5_M0 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:36,072:INFO:Task 7_M3 arrived on worker 2
Thread-1:2020-12-01 16:19:36,072:INFO:Task 8_M1 arrived on worker 2
Thread-2:2020-12-01 16:19:36,597:INFO:Task 8_M0 ran for 3 on worker 1
Thread-2:2020-12-01 16:19:36,597:DEBUG:Task 8_M0 completed on worker 1.Status sent to master.
Thread-1:2020-12-01 16:19:37,130:INFO:Task 4_R0 arrived on worker 2
Thread-1:2020-12-01 16:19:37,158:INFO:Task 5_R0 arrived on worker 3
Thread-2:2020-12-01 16:19:37,598:INFO:Task 7_M0 ran for 4 on worker 1
Thread-2:2020-12-01 16:19:37,598:DEBUG:Task 7_M0 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:37,598:INFO:Task 7_M2 ran for 4 on worker 1
Thread-2:2020-12-01 16:19:37,598:DEBUG:Task 7_M2 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:37,598:INFO:Task 9_M1 ran for 3 on worker 1
Thread-2:2020-12-01 16:19:37,598:DEBUG:Task 9_M1 completed on worker 1.Status sent to master.
Thread-1:2020-12-01 16:19:37,672:INFO:Task 9_R0 arrived on worker 1
Thread-2:2020-12-01 16:19:38,074:INFO:Task 6_M0 ran for 5 on worker 2
Thread-2:2020-12-01 16:19:38,074:DEBUG:Task 6_M0 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:38,074:INFO:Task 8_M1 ran for 2 on worker 2
Thread-2:2020-12-01 16:19:38,074:DEBUG:Task 8_M1 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:38,100:INFO:Task 6_R0 arrived on worker 1
Thread-1:2020-12-01 16:19:38,100:INFO:Task 6_R1 arrived on worker 1
Thread-2:2020-12-01 16:19:39,075:INFO:Task 7_M3 ran for 3 on worker 2
Thread-2:2020-12-01 16:19:39,076:DEBUG:Task 7_M3 completed on worker 2.Status sent to master.
Thread-1:2020-12-01 16:19:39,077:INFO:Task 4_R1 arrived on worker 2
Thread-1:2020-12-01 16:19:39,077:INFO:Task 8_R0 arrived on worker 2
Thread-1:2020-12-01 16:19:39,096:INFO:Task 7_R0 arrived on worker 2
Thread-1:2020-12-01 16:19:39,097:INFO:Task 7_R1 arrived on worker 2
Thread-2:2020-12-01 16:19:39,601:INFO:Task 9_R0 ran for 1 on worker 1
Thread-2:2020-12-01 16:19:39,601:DEBUG:Task 9_R0 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:39,601:INFO:Task 6_R1 ran for 1 on worker 1
Thread-2:2020-12-01 16:19:39,601:DEBUG:Task 6_R1 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:40,268:INFO:Task 5_R0 ran for 3 on worker 3
Thread-2:2020-12-01 16:19:40,268:DEBUG:Task 5_R0 completed on worker 3.Status sent to master.
Thread-2:2020-12-01 16:19:42,603:INFO:Task 6_R0 ran for 4 on worker 1
Thread-2:2020-12-01 16:19:42,603:DEBUG:Task 6_R0 completed on worker 1.Status sent to master.
Thread-2:2020-12-01 16:19:43,080:INFO:Task 8_R0 ran for 4 on worker 2
Thread-2:2020-12-01 16:19:43,080:DEBUG:Task 8_R0 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:44,081:INFO:Task 4_R0 ran for 6 on worker 2
Thread-2:2020-12-01 16:19:44,082:DEBUG:Task 4_R0 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:44,082:INFO:Task 4_R1 ran for 5 on worker 2
Thread-2:2020-12-01 16:19:44,082:DEBUG:Task 4_R1 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:44,082:INFO:Task 7_R0 ran for 4 on worker 2
Thread-2:2020-12-01 16:19:44,082:DEBUG:Task 7_R0 completed on worker 2.Status sent to master.
Thread-2:2020-12-01 16:19:44,082:INFO:Task 7_R1 ran for 4 on worker 2
Thread-2:2020-12-01 16:19:44,082:DEBUG:Task 7_R1 completed on worker 2.Status sent to master.
